Ort,lat,lon
Vienna,48.2083537,16.3725042
Copenhagen,55.6867243,12.5700724
Pristina,42.6638771,21.1640849
Ankara,39.9207759,32.8540497
Leipzig,51.3406321,12.3747329
Erevan,40.1777112,44.5126233
Brussels,50.8550018,4.35123337611662
Tbilisi,41.6934591,44.8014495
Istanbul,41.0766019,29.052495
Belgrade,44.81533175,20.4456587678701
Skopje,41.9961816,21.4319213
Sofia,-15.2538402,48.2562163
Roma,41.8933203,12.4829321
Koeln,50.938361,6.959974
Goteborg,57.7072326,11.9670171
Warszawa,52.2337172,21.0714322356365
Tel Aviv,32.0852997,34.7818064
Baku City,40.3755885,49.8328009
Zurich,47.3744489,8.5410422
Chania,35.5120831,24.0191544
Paris,48.8534951,2.3483915
Heraklion,31.302979,30.120813
Podgorica,42.4415238,19.2621081
Sarajevo,43.8519774,18.3866868
Stockholm,59.3251172,18.0710935
Charleroi,50.4116233,4.444528
Kishnev,,
Riga,56.9493977,24.1051846
Berlin,52.5170365,13.3888599
Dublin,53.3493795,-6.2605593
Amsterdam,52.3730796,4.8924534
Split,43.5116383,16.4399659
Milan,45.4641943,9.1896346
Bergamo,45.7566557,9.75421920086225
Thessaloniki,40.6403167,22.9352716
Lisbon,38.7077507,-9.1365919
Stuttgart,48.7784485,9.1800132
Tirana,41.3281482,19.8184435
Helsinki,60.1674881,24.9427473
Athens,33.9597677,-83.376398
Lyon,45.7578137,4.8320114
Geneva,46.2017559,6.1466014
Madrid,40.4167047,-3.7035825
Ercan,52.1039199,9.3685531
New York,40.7127281,-74.0060152
Frankfurt/Main,50.1106444,8.6820917
London,51.5073359,-0.12765
Nice,43.7009358,7.2683912
Luxembourg,49.6112768,6.129799
Batumi,41.6509502,41.6360085
Nowy Dwor Mazowiecki,52.4306508,20.7154712
Duesseldorf,51.2254018,6.7763137
Edinburgh,55.9533456,-3.1883749
Sevilla,37.3886303,-5.9953403
