art,standort,jahr,jahrgang,n,s,ca,na,k,mg,p,mn,TC
Buche,site_300,1993,1,25.3583241455347,1.32304299889746,11.6912899669239,0.0413781697905182,5.62183020948181,2.81918412348401,0.829437706725468,,542.44762954796
Buche,site_300,1993,1,25.2137689103267,1.53475115106336,11.771541328656,0.0441679456259592,7.41613681210261,2.02258276693708,0.963604472703355,,525.104143828108
Buche,site_300,1994,1,24.5464247598719,1.49413020277481,14.6680896478122,0.0298826040554963,5.72038420490928,3.07684098185699,1.17876200640342,,512.273212379936
Buche,site_300,1994,1,23.5546038543897,1.71306209850107,12.941113490364,0.0339400428265525,7.71627408993576,2.28051391862955,,,513.918629550321
Buche,site_300,1995,1,,1.63398692810458,13.2755991285403,0.0392919389978213,3.30936819172113,4.56862745098039,0.951416122004357,,515.250544662309
Buche,site_300,1995,1,23.0769230769231,1.75824175824176,12.5582417582418,0.045,5.44615384615385,2.55934065934066,0.973406593406593,,515.384615384615
Buche,site_300,1996,1,21.8102508178844,1.46564885496183,11.9749182115594,0.0317666303162486,4.56924754634678,2.17557251908397,0.735332606324973,,496.510359869138
Buche,site_300,1996,1,22.7765726681128,1.68763557483731,10.6832971800434,0.0335466377440347,8.21691973969631,1.53796095444685,1.04251626898048,0.112429501084599,501.626898047722
Buche,site_300,1997,1,22.6781857451404,1.57991360691145,14.0842332613391,0.041792656587473,4.84773218142549,3.38552915766739,0.921922246220302,,479.481641468683
Buche,site_300,1997,1,24.7844827586207,1.67456896551724,10.4418103448276,0.0305064655172414,8.59590517241379,1.69396551724138,1.09881465517241,0.125463362068966,490.301724137931
Buche,site_300,1998,1,24.4135442097442,1.46162827725295,11.5231928669993,0.0122492304426282,5.90170894809468,2.1006262604819,0.927820825814669,,492.304426281711
Buche,site_300,1998,1,23.3372228704784,1.50949400657685,10.8443831547682,0.0153813514373608,7.70658746154662,1.80227007531558,1.0266256497295,,504.932640288533
Buche,site_300,1999,1,23.6915787206547,1.4128796037045,12.6448416971785,0.0175533060521215,6.57872065474908,2.61145810898126,1.07613611888865,,511.199655395219
Buche,site_300,1999,1,22.5733634311512,1.45006986993443,10.5965817478233,0.0209824787702892,6.76770934107277,2.21863914866172,1.04976889175535,,512.630334300763
Buche,site_300,2000,1,22.5321888412017,1.46459227467811,12.793991416309,0.0229399141630901,7.04399141630901,2.52789699570815,1.01502145922747,,502.145922746781
Buche,site_300,2000,1,23.6559139784946,1.43548387096774,13.5118279569892,0.0159032258064516,6.04838709677419,2.71505376344086,1.00150537634409,,501.075268817204
Buche,site_300,2001,1,25.668449197861,1.64919786096257,16.131550802139,0.020192513368984,4.48235294117647,3.05561497326203,0.979358288770054,,502.780748663102
Buche,site_300,2001,1,21.2901852246115,1.48179689163296,10.5567383436236,0.0279965935703641,8.1094315520545,1.56163508622525,0.888865233127528,0.103715137321695,512.88056206089
Buche,site_300,2002,1,25.6410256410256,1.65918803418803,12.3653846153846,0.0299786324786325,5.09081196581197,3.00106837606838,0.912927350427351,,501.068376068376
Buche,site_300,2002,1,23.3793836344315,1.4346439957492,10.4973432518597,0.029192348565356,7.95430393198725,1.76514346439958,0.991179596174283,0.142986184909671,502.656748140276
Buche,site_300,2003,1,23.4092360076612,1.52692062140881,15.051074696744,0.015524579697808,4.17961268354969,3.74122153649713,0.851032134496701,,491.593956160885
Buche,site_300,2003,1,22.3024638912489,1.7427782497876,14.9129141886151,0.0202421410365336,6.75552251486831,2.42990654205607,0.683305012744265,,497.026338147833
Buche,site_300,2006,1,22.6000860955661,1.4270340077486,9.43392165303487,0.0203723633232888,7.59793370641412,1.84136891950065,0.94845027981059,0.100387430047353,525.182953077917
Buche,site_300,2006,1,22.6586102719033,1.39080707811826,10.0485541648684,0.0226262408286577,4.63314630988347,2.44281398359948,0.995036685369012,,517.911091929219
Buche,site_300,2007,1,22.640306122449,1.43707482993197,14.8299319727891,0.0228528911564626,4.04761904761905,3.68728741496599,0.824829931972789,,509.885204081633
Buche,site_300,2007,1,23.0728335991494,1.69059011164274,13.9032429558745,0.0217969165337586,6.8548644338118,2.21265284423179,0.888888888888889,,513.98192450824
Buche,site_300,2008,1,21.3807041804063,1.26475906818424,9.13945324965429,0.0348473566641847,4.83778321455164,1.84873949579832,0.767258802255079,,514.838846931177
Buche,site_300,2008,1,21.9163578613023,1.46109052408682,10.3758602435151,0.0401905770248809,7.5436739015352,1.5436739015352,0.841291688724193,0.106299629433563,507.676019057702
Buche,site_300,2011,1,20.5822757811667,1.20614268955956,14.2124346806015,0.0384877892716221,3.21531406633252,3.66108563506452,0.697451210408446,,504.425722512531
Buche,site_300,2011,1,21.9791887874283,1.63198131238055,13.4795073263963,0.0500849437247823,6.15204926736037,2.586536419622,0.90783605861117,,503.291569335315
Buche,site_700,1993,1,23.0086556371206,1.42434534896461,15.3851210693547,0.0346773309959461,6.36353675906651,2.77747343048099,0.609619809356853,0.0170044921661006,530.294729922209
Buche,site_700,1993,1,19.79980200198,0.989990100098999,12.3748762512375,0.0471235287647124,5.59454405455945,3.0139698603014,0.645583544164558,0.0170718292817072,
Buche,site_700,1993,1,24.2184059885513,1.43108762659621,11.8394980184941,0.026144870101277,5.16512549537649,2.94473800088067,0.934940554821664,0.0221268163804491,521.796565389696
Buche,site_700,1993,1,20.8630723619194,1.42747337213133,14.1484572307017,0.0463709234654661,7.07587570001098,3.03063577467882,0.570879543208521,0.0219391676732184,524.870978368288
Buche,site_700,1993,1,,1.55176235867879,14.7217911771226,0.0533030370206163,5.97650188428286,3.93371757925072,0.679339392595877,0.0310463311904234,515.406783418311
Buche,site_700,1993,1,20.9043899218836,1.10023104852019,12.6559577511277,0.0365606777423259,6.08317746726813,3.2368797447464,0.67246121685554,0.0297612498624711,529.211134338211
Buche,site_700,1994,1,25.6410256410256,1.4957264957265,18.667735042735,0.0413034188034188,,3.63782051282051,0.882264957264957,0.0152777777777778,487.179487179487
Buche,site_700,1994,1,19.2926045016077,1.07181136120043,16.3440514469453,0.0338692390139336,6.63558413719185,3.80064308681672,0.945659163987138,0.0116827438370847,502.679528403001
